Age,Salary,Status
30,23000,1
33,58000,0
36,68000,0
27,27000,1
32,38000,0
30,60000,0
27,58000,0
23,38000,0
35,57000,0
25,38000,0
20,35000,0
37,51000,0
25,66000,0
27,33000,0
21,25000,1
38,54000,0
36,72000,0
26,19000,0
29,71000,0
21,46000,0
36,26000,1
35,59000,0
26,37000,0
19,67000,0
34,51000,0
19,38000,0
22,49000,0
25,62000,0
31,67000,0
26,38000,0
31,32000,0
39,36000,0
30,23000,1
39,52000,0
31,24000,1
21,57000,0
38,48000,0
34,53000,0
23,61000,0
20,21000,1
35,32000,0
32,75000,0
22,43000,0
21,61000,0
32,19000,0
28,24000,1
34,33000,0
38,69000,0
36,50000,0
21,59000,0
18,51000,0
32,43000,0
21,58000,0
21,71000,0
40,33000,0
29,74000,0
20,24000,1
33,22000,1
32,44000,0
30,41000,0
40,29000,1
18,27000,1
32,54000,0
23,41000,0
27,73000,0
32,41000,0
30,21000,1
39,51000,0
20,61000,0
29,37000,0
24,47000,0
34,73000,0
36,79000,0
39,67000,0
38,33000,0
34,61000,0
38,65000,0
19,31000,0
30,30000,1
30,41000,0
36,30000,1
28,69000,0
19,33000,0
25,49000,0
19,28000,1
23,31000,0
33,34000,0
32,80000,0
29,56000,0
38,55000,0
37,60000,0
27,20000,1
27,41000,0
38,55000,0
30,34000,0
33,54000,0
33,78000,0
22,66000,0
24,33000,0
39,66000,0
21,18000,0
23,76000,0
25,18000,0
25,36000,0
24,57000,0
22,18000,0
24,34000,0
18,43000,0
31,77000,0
36,60000,0
19,71000,0
38,36000,0
32,65000,0
39,72000,0
19,30000,1
18,65000,0
20,79000,0
34,21000,1
25,24000,1
40,25000,1
35,25000,1
22,67000,0
22,53000,0
31,30000,1
26,56000,0
39,71000,0
40,60000,0
25,31000,0
39,24000,1
39,45000,0
20,78000,0
20,40000,0
31,73000,0
25,36000,0
21,62000,0
33,42000,0
34,76000,0
33,40000,0
38,19000,0
38,70000,0
38,76000,0
26,60000,0
21,46000,0
24,43000,0
39,31000,0
36,57000,0
33,40000,0
18,33000,0
26,22000,1
29,43000,0
35,44000,0
21,28000,1
29,68000,0
32,80000,0
38,58000,0
22,60000,0
27,39000,0
34,24000,1
22,27000,1
29,37000,0
26,18000,0
36,44000,0
40,62000,0
30,20000,1
40,42000,0
22,38000,0
40,67000,0
19,52000,0
39,36000,0
25,65000,0
28,68000,0
26,73000,0
35,32000,0
36,58000,0
31,69000,0
19,76000,0
30,25000,1
39,39000,0
32,58000,0
36,30000,1
22,44000,0
33,52000,0
32,57000,0
37,59000,0
38,29000,1
33,52000,0
37,27000,1
23,36000,0
21,65000,0
28,58000,0
21,68000,0
31,65000,0
24,32000,0
20,79000,0
28,53000,0
19,38000,0
31,51000,0
28,65000,0
39,20000,1
30,73000,0
27,19000,0
40,22000,1
31,79000,0
19,38000,0
33,55000,0
22,31000,0
31,62000,0
36,64000,0
27,63000,0
31,54000,0
19,49000,0
28,42000,0
33,57000,0
18,58000,0
33,31000,0
23,55000,0
28,61000,0
37,44000,0
21,43000,0
37,47000,0
30,61000,0
29,31000,0
19,18000,0
26,34000,0
27,74000,0
18,46000,0
32,72000,0
19,22000,1
32,22000,1
40,64000,0
34,42000,0
29,21000,1
37,59000,0
24,44000,0
39,24000,1
31,46000,0
24,80000,0
18,61000,0
39,69000,0
29,56000,0
19,49000,0
39,33000,0
32,22000,1
40,53000,0
40,26000,1
39,32000,0
28,18000,0
34,24000,1
30,59000,0
39,77000,0
20,40000,0
31,37000,0
27,34000,0
38,50000,0
31,63000,0
24,19000,0
30,61000,0
39,18000,0
36,50000,0
24,36000,0
22,51000,0
27,58000,0
19,45000,0
21,40000,0
29,69000,0
27,50000,0
22,21000,1
20,58000,0
25,29000,1
30,34000,0
23,64000,0
22,72000,0
36,56000,0
40,27000,1
34,47000,0
35,46000,0
36,44000,0
37,29000,1
21,70000,0
21,23000,1
24,78000,0
29,40000,0
37,18000,0
35,46000,0
34,64000,0
18,36000,0
27,27000,1
27,73000,0
36,53000,0
20,37000,0
25,42000,0
24,60000,0
29,67000,0
18,44000,0
31,29000,1
39,46000,0
22,68000,0
37,27000,1
20,35000,0
25,80000,0
23,79000,0
18,69000,0
37,78000,0
19,67000,0
33,73000,0
27,65000,0
21,33000,0
22,61000,0
23,68000,0
37,21000,1
37,76000,0
24,38000,0
33,37000,0
31,74000,0
22,43000,0
22,46000,0
18,35000,0
39,66000,0
19,28000,1
24,60000,0
37,40000,0
26,27000,1
22,46000,0
20,33000,0
40,31000,0
40,71000,0
19,38000,0
24,19000,0
32,29000,1
38,58000,0
40,78000,0
25,48000,0
19,64000,0
18,28000,1
28,25000,1
29,38000,0
25,69000,0
36,62000,0
35,41000,0
37,72000,0
39,26000,1
19,20000,1
40,48000,0
36,39000,0
21,57000,0
26,47000,0
39,74000,0
20,29000,1
28,62000,0
32,19000,0
27,77000,0
29,79000,0
20,74000,0
39,66000,0
40,21000,1
29,54000,0
40,74000,0
40,53000,0
35,80000,0
21,74000,0
36,38000,0
32,71000,0
19,64000,0
39,25000,1
29,34000,0
20,47000,0
40,32000,0
38,35000,0
28,72000,0
23,19000,0
22,59000,0
22,52000,0
30,34000,0
40,43000,0
18,76000,0
40,70000,0
18,79000,0
38,23000,1
39,65000,0
30,22000,1
26,28000,1
33,47000,0
18,39000,0
20,29000,1
21,78000,0
27,65000,0
27,64000,0
38,72000,0
23,53000,0
27,57000,0
39,47000,0
20,54000,0
33,58000,0
36,20000,1
22,45000,0
18,21000,1
19,34000,0
18,51000,0
35,20000,1
31,41000,0
19,61000,0
29,61000,0
32,66000,0
20,76000,0
37,40000,0
33,23000,1
24,24000,1
18,43000,0
25,75000,0
35,54000,0
29,59000,0
28,41000,0
36,67000,0
38,76000,0
30,50000,0
18,55000,0
20,39000,0
40,52000,0
38,75000,0
29,42000,0
37,38000,0
32,51000,0
25,66000,0
37,40000,0
37,21000,1
25,69000,0
34,74000,0
23,70000,0
25,21000,1
25,51000,0
40,34000,0
39,77000,0
40,36000,0
36,77000,0
28,61000,0
35,77000,0
30,71000,0
23,48000,0
21,55000,0
32,36000,0
25,59000,0
29,34000,0
22,33000,0
36,76000,0
38,63000,0
25,23000,1
20,58000,0
32,21000,1
33,32000,0
33,74000,0
35,20000,1
35,27000,1
30,51000,0
28,58000,0
25,77000,0
24,63000,0
36,18000,0
18,52000,0
27,80000,0
35,68000,0
35,25000,1
37,37000,0
18,71000,0
35,34000,0
26,33000,0
31,63000,0
35,53000,0
32,39000,0
24,60000,0
37,52000,0
40,21000,1
35,32000,0
37,79000,0
27,27000,1
19,22000,1
27,67000,0
22,24000,1
33,18000,0
40,47000,0
23,52000,0
38,45000,0
35,45000,0
33,44000,0
35,21000,1
39,74000,0
33,45000,0
20,34000,0
31,52000,0
34,32000,0
30,67000,0
29,58000,0
20,67000,0
27,19000,0
36,74000,0
34,55000,0
26,20000,1
28,65000,0
33,45000,0
24,59000,0
24,52000,0
38,19000,0
25,48000,0
23,80000,0
27,59000,0
39,75000,0
20,33000,0
18,77000,0
37,79000,0
29,69000,0
32,60000,0
35,73000,0
22,43000,0
31,45000,0
25,57000,0
18,67000,0
39,24000,1
31,35000,0
29,72000,0
35,73000,0
18,48000,0
21,30000,1
31,54000,0
20,30000,1
35,49000,0
25,75000,0
31,41000,0
37,57000,0
30,20000,1
32,70000,0
33,36000,0
23,60000,0
22,39000,0
24,59000,0
36,64000,0
20,61000,0
36,30000,1
22,33000,0
23,44000,0
32,74000,0
19,65000,0
24,57000,0
19,26000,1
18,61000,0
35,52000,0
25,50000,0
20,69000,0
23,65000,0
32,73000,0
26,20000,1
40,77000,0
21,64000,0
26,71000,0
38,61000,0
21,75000,0
29,73000,0
25,63000,0
27,46000,0
21,62000,0
38,63000,0
40,24000,1
28,47000,0
18,59000,0
34,62000,0
26,60000,0
37,80000,0
26,71000,0
26,40000,0
36,77000,0
39,40000,0
20,37000,0
18,49000,0
22,71000,0
18,65000,0
39,64000,0
37,47000,0
26,42000,0
31,70000,0
27,71000,0
18,76000,0
30,35000,0
33,78000,0
34,42000,0
29,66000,0
18,37000,0
18,34000,0
27,21000,1
28,46000,0
22,39000,0
37,76000,0
31,36000,0
40,33000,0
31,32000,0
22,45000,0
31,53000,0
34,61000,0
28,47000,0
18,22000,1
24,75000,0
29,34000,0
27,80000,0
24,48000,0
32,58000,0
29,32000,0
35,32000,0
34,42000,0
29,73000,0
21,31000,0
35,63000,0
32,79000,0
40,49000,0
27,30000,1
24,59000,0
22,70000,0
36,56000,0
26,21000,1
19,27000,1
20,31000,0
34,69000,0
31,19000,0
25,40000,0
20,30000,1
40,42000,0
21,53000,0
36,52000,0
40,23000,1
34,72000,0
29,61000,0
27,35000,0
39,64000,0
21,78000,0
19,65000,0
29,72000,0
21,47000,0
40,78000,0
26,50000,0
37,45000,0
27,68000,0
34,47000,0
18,39000,0
35,51000,0
30,42000,0
30,27000,1
35,45000,0
33,80000,0
32,37000,0
25,72000,0
27,69000,0
35,59000,0
29,25000,1
38,23000,1
30,36000,0
21,39000,0
28,22000,1
28,55000,0
39,42000,0
40,72000,0
20,27000,1
24,29000,1
18,79000,0
29,57000,0
27,80000,0
29,68000,0
31,70000,0
31,57000,0
37,63000,0
31,47000,0
32,44000,0
20,69000,0
28,58000,0
32,48000,0
26,26000,1
38,57000,0
19,26000,1
20,66000,0
26,33000,0
37,29000,1
29,62000,0
26,45000,0
26,25000,1
26,42000,0
34,51000,0
26,58000,0
28,36000,0
18,38000,0
35,18000,0
35,49000,0
34,61000,0
30,56000,0
34,25000,1
34,49000,0
22,32000,0
37,70000,0
39,64000,0
24,43000,0
40,29000,1
25,28000,1
23,56000,0
22,25000,1
20,44000,0
31,80000,0
31,71000,0
22,42000,0
38,48000,0
22,35000,0
25,71000,0
21,60000,0
34,18000,0
23,57000,0
38,45000,0
22,24000,1
31,77000,0
30,19000,0
37,47000,0
29,77000,0
20,68000,0
23,51000,0
27,53000,0
34,71000,0
33,52000,0
31,59000,0
31,21000,1
24,62000,0
40,80000,0
30,78000,0
20,36000,0
30,31000,0
36,25000,1
24,43000,0
29,19000,0
24,27000,1
25,46000,0
19,28000,1
35,35000,0
39,77000,0
25,53000,0
18,58000,0
26,74000,0
40,56000,0
32,76000,0
36,37000,0
18,27000,1
27,27000,1
38,51000,0
29,23000,1
39,52000,0
37,69000,0
30,49000,0
32,77000,0
18,53000,0
40,39000,0
33,40000,0
23,55000,0
31,60000,0
30,62000,0
19,28000,1
23,80000,0
28,68000,0
24,20000,1
40,54000,0
31,40000,0
40,19000,0
26,77000,0
36,79000,0
30,41000,0
36,44000,0
23,63000,0
38,71000,0
29,44000,0
25,18000,0
23,22000,1
29,35000,0
39,24000,1
36,50000,0
34,56000,0
39,68000,0
34,74000,0
30,29000,1
24,44000,0
31,25000,1
25,56000,0
20,41000,0
22,74000,0
31,19000,0
27,62000,0
20,45000,0
31,78000,0
39,69000,0
39,29000,1
31,49000,0
23,50000,0
39,45000,0
21,36000,0
39,58000,0
26,44000,0
37,30000,1
33,50000,0
19,62000,0
31,63000,0
39,35000,0
27,52000,0
24,28000,1
21,29000,1
37,48000,0
23,35000,0
21,26000,1
22,28000,1
38,44000,0
27,28000,1
30,36000,0
28,33000,0
35,31000,0
29,41000,0
21,63000,0
30,64000,0
28,76000,0
22,38000,0
32,30000,1
30,72000,0
19,62000,0
35,57000,0
28,21000,1
38,21000,1
24,32000,0
23,42000,0
36,59000,0
26,39000,0
25,58000,0
34,70000,0
21,48000,0
33,23000,1
38,44000,0
36,28000,1
18,56000,0
24,51000,0
24,18000,0
39,18000,0
40,42000,0
26,58000,0
20,76000,0
